Iteration,Cost
835,0.385835
836,0.385738
837,0.385642
838,0.385545
839,0.385449
840,0.385353
841,0.385257
842,0.38516
843,0.385064
844,0.384968
845,0.384872
846,0.384776
847,0.38468
848,0.384584
849,0.384488
850,0.384392
851,0.384296
852,0.3842
853,0.384104
854,0.384009
855,0.383913
856,0.383817
857,0.383721
858,0.383626
859,0.38353
860,0.383435
861,0.383339
862,0.383244
863,0.383148
864,0.383053
865,0.382957
866,0.382862
867,0.382767
868,0.382672
869,0.382576
870,0.382481
871,0.382386
872,0.382291
873,0.382196
874,0.382101
875,0.382006
876,0.381911
877,0.381816
878,0.381721
879,0.381626
880,0.381531
881,0.381437
882,0.381342
883,0.381247
884,0.381152
885,0.381058
886,0.380963
887,0.380869
888,0.380774
889,0.38068
890,0.380585
891,0.380491
892,0.380396
893,0.380302
894,0.380208
895,0.380113
896,0.380019
897,0.379925
898,0.379831
899,0.379737
900,0.379643
901,0.379549
902,0.379455
903,0.379361
904,0.379267
905,0.379173
906,0.379079
907,0.378985
908,0.378891
909,0.378798
910,0.378704
911,0.37861
912,0.378516
913,0.378423
914,0.378329
915,0.378236
916,0.378142
917,0.378049
918,0.377955
919,0.377862
920,0.377769
921,0.377675
922,0.377582
923,0.377489
924,0.377396
925,0.377302
926,0.377209
927,0.377116
928,0.377023
929,0.37693
930,0.376837
931,0.376744
932,0.376651
933,0.376558
934,0.376465
935,0.376373
936,0.37628
937,0.376187
938,0.376094
939,0.376002
940,0.375909
941,0.375816
942,0.375724
943,0.375631
944,0.375539
945,0.375446
946,0.375354
947,0.375262
948,0.375169
949,0.375077
950,0.374985
951,0.374892
952,0.3748
953,0.374708
954,0.374616
955,0.374524
956,0.374432
957,0.37434
958,0.374248
959,0.374156
960,0.374064
961,0.373972
962,0.37388
963,0.373788
964,0.373696
965,0.373605
966,0.373513
967,0.373421
968,0.37333
969,0.373238
970,0.373146
971,0.373055
972,0.372963
973,0.372872
974,0.372781
975,0.372689
976,0.372598
977,0.372506
978,0.372415
979,0.372324
980,0.372233
981,0.372142
982,0.37205
983,0.371959
984,0.371868
985,0.371777
986,0.371686
987,0.371595
988,0.371504
989,0.371413
990,0.371322
991,0.371232
992,0.371141
993,0.37105
994,0.370959
995,0.370869
996,0.370778
997,0.370687
998,0.370597
999,0.370506
