Iteration,Cost
766,0.585474
767,0.58535
768,0.585226
769,0.585102
770,0.584979
771,0.584855
772,0.584732
773,0.584608
774,0.584485
775,0.584361
776,0.584238
777,0.584114
778,0.583991
779,0.583868
780,0.583744
781,0.583621
782,0.583498
783,0.583375
784,0.583251
785,0.583128
786,0.583005
787,0.582882
788,0.582759
789,0.582636
790,0.582514
791,0.582391
792,0.582268
793,0.582145
794,0.582022
795,0.5819
796,0.581777
797,0.581654
798,0.581532
799,0.581409
800,0.581287
801,0.581164
802,0.581042
803,0.58092
804,0.580797
805,0.580675
806,0.580553
807,0.58043
808,0.580308
809,0.580186
810,0.580064
811,0.579942
812,0.57982
813,0.579698
814,0.579576
815,0.579454
816,0.579332
817,0.57921
818,0.579088
819,0.578967
820,0.578845
821,0.578723
822,0.578602
823,0.57848
824,0.578359
825,0.578237
826,0.578115
827,0.577994
828,0.577873
829,0.577751
830,0.57763
831,0.577509
832,0.577387
833,0.577266
834,0.577145
835,0.577024
836,0.576903
837,0.576782
838,0.576661
839,0.57654
840,0.576419
841,0.576298
842,0.576177
843,0.576056
844,0.575935
845,0.575815
846,0.575694
847,0.575573
848,0.575452
849,0.575332
850,0.575211
851,0.575091
852,0.57497
853,0.57485
854,0.574729
855,0.574609
856,0.574489
857,0.574368
858,0.574248
859,0.574128
860,0.574008
861,0.573888
862,0.573767
863,0.573647
864,0.573527
865,0.573407
866,0.573287
867,0.573168
868,0.573048
869,0.572928
870,0.572808
871,0.572688
872,0.572568
873,0.572449
874,0.572329
875,0.57221
876,0.57209
877,0.57197
878,0.571851
879,0.571731
880,0.571612
881,0.571493
882,0.571373
883,0.571254
884,0.571135
885,0.571015
886,0.570896
887,0.570777
888,0.570658
889,0.570539
890,0.57042
891,0.570301
892,0.570182
893,0.570063
894,0.569944
895,0.569825
896,0.569706
897,0.569588
898,0.569469
899,0.56935
900,0.569232
901,0.569113
902,0.568994
903,0.568876
904,0.568757
905,0.568639
906,0.56852
907,0.568402
908,0.568284
909,0.568165
910,0.568047
911,0.567929
912,0.56781
913,0.567692
914,0.567574
915,0.567456
916,0.567338
917,0.56722
918,0.567102
919,0.566984
920,0.566866
921,0.566748
922,0.56663
923,0.566512
924,0.566395
925,0.566277
926,0.566159
927,0.566042
928,0.565924
929,0.565806
930,0.565689
931,0.565571
932,0.565454
933,0.565336
934,0.565219
935,0.565102
936,0.564984
937,0.564867
938,0.56475
939,0.564633
940,0.564515
941,0.564398
942,0.564281
943,0.564164
944,0.564047
945,0.56393
946,0.563813
947,0.563696
948,0.563579
949,0.563463
950,0.563346
951,0.563229
952,0.563112
953,0.562996
954,0.562879
955,0.562762
956,0.562646
957,0.562529
958,0.562413
959,0.562296
960,0.56218
961,0.562063
962,0.561947
963,0.561831
964,0.561714
965,0.561598
966,0.561482
967,0.561366
968,0.56125
969,0.561134
970,0.561017
971,0.560901
972,0.560785
973,0.560669
974,0.560554
975,0.560438
976,0.560322
977,0.560206
978,0.56009
979,0.559974
980,0.559859
981,0.559743
982,0.559627
983,0.559512
984,0.559396
985,0.559281
986,0.559165
987,0.55905
988,0.558934
989,0.558819
990,0.558704
991,0.558588
992,0.558473
993,0.558358
994,0.558243
995,0.558128
996,0.558013
997,0.557897
998,0.557782
999,0.557667
