Iteration,Cost
831,0.649802
832,0.64976
833,0.649718
834,0.649676
835,0.649634
836,0.649592
837,0.64955
838,0.649508
839,0.649466
840,0.649425
841,0.649383
842,0.649341
843,0.649299
844,0.649257
845,0.649216
846,0.649174
847,0.649132
848,0.64909
849,0.649049
850,0.649007
851,0.648965
852,0.648924
853,0.648882
854,0.64884
855,0.648799
856,0.648757
857,0.648716
858,0.648674
859,0.648633
860,0.648591
861,0.648549
862,0.648508
863,0.648467
864,0.648425
865,0.648384
866,0.648342
867,0.648301
868,0.648259
869,0.648218
870,0.648177
871,0.648135
872,0.648094
873,0.648053
874,0.648011
875,0.64797
876,0.647929
877,0.647888
878,0.647846
879,0.647805
880,0.647764
881,0.647723
882,0.647682
883,0.647641
884,0.647599
885,0.647558
886,0.647517
887,0.647476
888,0.647435
889,0.647394
890,0.647353
891,0.647312
892,0.647271
893,0.64723
894,0.647189
895,0.647148
896,0.647107
897,0.647066
898,0.647025
899,0.646984
900,0.646944
901,0.646903
902,0.646862
903,0.646821
904,0.64678
905,0.646739
906,0.646699
907,0.646658
908,0.646617
909,0.646576
910,0.646536
911,0.646495
912,0.646454
913,0.646414
914,0.646373
915,0.646332
916,0.646292
917,0.646251
918,0.646211
919,0.64617
920,0.646129
921,0.646089
922,0.646048
923,0.646008
924,0.645967
925,0.645927
926,0.645886
927,0.645846
928,0.645806
929,0.645765
930,0.645725
931,0.645684
932,0.645644
933,0.645604
934,0.645563
935,0.645523
936,0.645483
937,0.645442
938,0.645402
939,0.645362
940,0.645322
941,0.645281
942,0.645241
943,0.645201
944,0.645161
945,0.645121
946,0.64508
947,0.64504
948,0.645
949,0.64496
950,0.64492
951,0.64488
952,0.64484
953,0.6448
954,0.64476
955,0.64472
956,0.64468
957,0.64464
958,0.6446
959,0.64456
960,0.64452
961,0.64448
962,0.64444
963,0.6444
964,0.64436
965,0.64432
966,0.64428
967,0.644241
968,0.644201
969,0.644161
970,0.644121
971,0.644081
972,0.644042
973,0.644002
974,0.643962
975,0.643922
976,0.643883
977,0.643843
978,0.643803
979,0.643764
980,0.643724
981,0.643684
982,0.643645
983,0.643605
984,0.643565
985,0.643526
986,0.643486
987,0.643447
988,0.643407
989,0.643368
990,0.643328
991,0.643289
992,0.643249
993,0.64321
994,0.64317
995,0.643131
996,0.643091
997,0.643052
998,0.643013
999,0.642973
